satellite_name,launch_date,launch_vehicle,orbit,application,year,month,rocket_family,mission,orbit_cat,recent_launch
NISAR(NASA-ISRO),2025-07-30,GSLV-F16/NISAR Mission,SSO (Sun Synchronous Orbit),Earth Observation(Radar),2025,Jul,GSLV-F16/NISAR,NISAR,SSO,1
EOS-09,2025-05-18,PSLV-C61/EOS-09 Mission,SSO (Sun Synchronous Orbit),Earth Observation,2025,May,PSLV-C61/EOS-09,EOS-09,SSO,1
NVS-02(NavIC Series),2025-01-29,GSLV-F15/NVS-02 Mission,GTO (Geosynchronous Transfer Orbit),Navigation,2025,Jan,GSLV-F15/NVS-02,NVS-02,GTO,1
"SPADEX, POEM-4",2025-12-30,"PSLV-C60,SPADEX,POEM-4 Mission",LEO (Low Earth Orbit),In-Orbit Docking Experiment,2025,Dec,"PSLV-C60,SPADEX,POEM-4","PSLV-C60,SPADEX,POEM-4",LEO,1
Proba-3 (ESA),2024-12-05,PSLV-C59/Proba-3 Mission,HEO (High Elliptical Orbit),Formation Flying(Technology Demonstration),2024,Dec,PSLV-C59/Proba-3,Proba-3,HEO,1
Aditya-L1,2023-09-02,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,2023,Sep,PSLV-C57/Aditya-L1,Aditya-L1,Lunar,1
Chandrayaan-3,2023-07-14,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,2023,Jul,LVM3, Chandrayaan-3,Lunar,1
NVS-01,2023-05-29,GSLV-F12/NVS-01 Mission,Unknown,Navigation,2023,May,GSLV-F12/NVS-01,NVS-01,Unknown,1
EOS-07,2023-02-10,SSLV-D2/EOS-07 Mission,Unknown,Earth Observation,2023,Feb,SSLV-D2/EOS-07,EOS-07,Unknown,1
Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,2022,Nov,PSLV-C54/EOS-06,EOS-06,Unknown,1
Anand,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,2022,Nov,PSLV-C54/EOS-06,EOS-06,Unknown,1
INS-2B,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,2022,Nov,PSLV-C54/EOS-06,EOS-06,Unknown,1
EOS-06,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,2022,Nov,PSLV-C54/EOS-06,EOS-06,Unknown,1
EOS-02,2022-08-07,SSLV-D1/EOS-02 Mission,Unknown,Earth Observation,2022,Aug,SSLV-D1/EOS-02,EOS-02,Unknown,1
GSAT-24,2022-06-23,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,2022,Jun,Ariane-V(VS257),Ariane-V(VS257),GSO,1
INS-2TD,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Experimental,2022,Feb,PSLV-C52/EOS-04,EOS-04,Unknown,1
EOS-04,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Earth Observation,2022,Feb,PSLV-C52/EOS-04,EOS-04,Unknown,1
EOS-03,2021-08-12,GSLV-F10 / EOS-03 Mission,GTO (Geosynchronous Transfer Orbit),Earth Observation,2021,Aug,GSLV-F10, EOS-03,GTO,1
CMS-01,2020-12-17,PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,2020,Dec,PSLV-C50/CMS-01,CMS-01,GSO,1
EOS-01,2020-11-07,PSLV-C49/EOS-01,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",2020,Nov,PSLV-C49/EOS-01,EOS-01,LEO,1
GSAT-30,2020-01-17,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,2020,Jan,Ariane-5,Ariane-5 VA-251,GSO,1
RISAT-2BR1,2019-12-11,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",2019,Dec,PSLV-C48/RISAT-2BR1,RISAT-2BR1,LEO,1
Cartosat-3,2019-11-27,PSLV-C47 / Cartosat-3 Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,2019,Nov,PSLV-C47, Cartosat-3,SSPO,1
Chandrayaan2,2019-07-22,GSLV-Mk III - M1 / Chandrayaan-2 Mission,Lunar,Planetary Observation,2019,Jul,GSLV-Mk, Chandrayaan-2,Lunar,1
RISAT-2B,2019-05-22,PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",2019,May,PSLV-C46,PSLV-C46,LEO,1
EMISAT,2019-04-01,PSLV-C45/EMISAT MISSION,SSPO (Sun Synchronous Polar Orbit),Unknown,2019,Apr,PSLV-C45/EMISAT,EMISAT MISSION,SSPO,1
GSAT-31,2019-02-06,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,2019,Feb,Ariane-5,Ariane-5 VA-247,GTO,1
Microsat-R,2019-01-24,PSLV-C44,SSPO (Sun Synchronous Polar Orbit),Unknown,2019,Jan,PSLV-C44,PSLV-C44,SSPO,1
GSAT-7A,2018-12-19,GSLV-F11 / GSAT-7A Mission,Unknown,Communication,2018,Dec,GSLV-F11, GSAT-7A,Unknown,1
